name,seat,charge,leavehour,departure,arrival,departure_datetime,arrival_datetime,check
제주항공,일반석,119200,11,GMP,CJU,2023-07-21 11:30:00,2023-07-21 12:30:00,come
대한항공,일반석,129700,11,GMP,CJU,2023-07-21 11:30:00,2023-07-21 12:40:00,come
이스타항공,할인석,35600,11,GMP,CJU,2023-07-21 11:40:00,2023-07-21 12:50:00,come
이스타항공,일반석,119600,11,GMP,CJU,2023-07-21 11:40:00,2023-07-21 12:50:00,come
티웨이항공,할인석,35500,11,GMP,CJU,2023-07-21 11:45:00,2023-07-21 12:55:00,come
티웨이항공,일반석,118700,11,GMP,CJU,2023-07-21 11:45:00,2023-07-21 12:55:00,come
아시아나항공,특가석,66700,11,GMP,CJU,2023-07-21 11:50:00,2023-07-21 13:05:00,come
아시아나항공,할인석,72700,11,GMP,CJU,2023-07-21 11:50:00,2023-07-21 13:05:00,come
아시아나항공,일반석,132700,11,GMP,CJU,2023-07-21 11:50:00,2023-07-21 13:05:00,come
대한항공,특가석,50700,11,GMP,CJU,2023-07-21 11:55:00,2023-07-21 13:05:00,come
대한항공,할인석,83700,11,GMP,CJU,2023-07-21 11:55:00,2023-07-21 13:05:00,come
대한항공,일반석,129700,11,GMP,CJU,2023-07-21 11:55:00,2023-07-21 13:05:00,come
제주항공,특가석,33600,12,GMP,CJU,2023-07-21 12:15:00,2023-07-21 13:35:00,come
제주항공,일반석,119200,12,GMP,CJU,2023-07-21 12:15:00,2023-07-21 13:35:00,come
아시아나항공,특가석,60700,12,GMP,CJU,2023-07-21 12:20:00,2023-07-21 13:35:00,come
아시아나항공,할인석,72700,12,GMP,CJU,2023-07-21 12:20:00,2023-07-21 13:35:00,come
아시아나항공,일반석,132700,12,GMP,CJU,2023-07-21 12:20:00,2023-07-21 13:35:00,come
아시아나항공,특가석,54700,12,GMP,CJU,2023-07-21 12:25:00,2023-07-21 13:35:00,come
아시아나항공,할인석,72700,12,GMP,CJU,2023-07-21 12:25:00,2023-07-21 13:35:00,come
아시아나항공,일반석,132700,12,GMP,CJU,2023-07-21 12:25:00,2023-07-21 13:35:00,come
제주항공,특가석,37600,12,GMP,CJU,2023-07-21 12:40:00,2023-07-21 13:50:00,come
대한항공,특가석,43700,12,GMP,CJU,2023-07-21 12:40:00,2023-07-21 13:50:00,come
대한항공,할인석,83700,12,GMP,CJU,2023-07-21 12:40:00,2023-07-21 13:50:00,come
제주항공,일반석,119200,12,GMP,CJU,2023-07-21 12:40:00,2023-07-21 13:50:00,come
대한항공,일반석,129700,12,GMP,CJU,2023-07-21 12:40:00,2023-07-21 13:50:00,come
티웨이항공,할인석,35500,12,GMP,CJU,2023-07-21 12:50:00,2023-07-21 14:00:00,come
티웨이항공,일반석,118700,12,GMP,CJU,2023-07-21 12:50:00,2023-07-21 14:00:00,come
이스타항공,할인석,32500,12,GMP,CJU,2023-07-21 12:55:00,2023-07-21 14:05:00,come
이스타항공,일반석,119600,12,GMP,CJU,2023-07-21 12:55:00,2023-07-21 14:05:00,come
대한항공,특가석,43700,13,GMP,CJU,2023-07-21 13:00:00,2023-07-21 14:10:00,come
아시아나항공,특가석,54700,13,GMP,CJU,2023-07-21 13:00:00,2023-07-21 14:10:00,come
아시아나항공,할인석,72700,13,GMP,CJU,2023-07-21 13:00:00,2023-07-21 14:10:00,come
대한항공,할인석,83700,13,GMP,CJU,2023-07-21 13:00:00,2023-07-21 14:10:00,come
대한항공,일반석,129700,13,GMP,CJU,2023-07-21 13:00:00,2023-07-21 14:10:00,come
아시아나항공,일반석,132700,13,GMP,CJU,2023-07-21 13:00:00,2023-07-21 14:10:00,come
제주항공,특가석,37600,13,GMP,CJU,2023-07-21 13:10:00,2023-07-21 14:20:00,come
제주항공,일반석,119200,13,GMP,CJU,2023-07-21 13:10:00,2023-07-21 14:20:00,come
대한항공,특가석,43700,13,GMP,CJU,2023-07-21 13:20:00,2023-07-21 14:30:00,come
대한항공,할인석,83700,13,GMP,CJU,2023-07-21 13:20:00,2023-07-21 14:30:00,come
대한항공,일반석,129700,13,GMP,CJU,2023-07-21 13:20:00,2023-07-21 14:30:00,come
제주항공,특가석,37600,13,GMP,CJU,2023-07-21 13:30:00,2023-07-21 14:40:00,come
대한항공,특가석,43700,13,GMP,CJU,2023-07-21 13:30:00,2023-07-21 14:40:00,come
대한항공,할인석,83700,13,GMP,CJU,2023-07-21 13:30:00,2023-07-21 14:40:00,come
제주항공,일반석,119200,13,GMP,CJU,2023-07-21 13:30:00,2023-07-21 14:40:00,come
대한항공,일반석,129700,13,GMP,CJU,2023-07-21 13:30:00,2023-07-21 14:40:00,come
이스타항공,할인석,32500,13,GMP,CJU,2023-07-21 13:40:00,2023-07-21 14:50:00,come
티웨이항공,할인석,39210,13,GMP,CJU,2023-07-21 13:40:00,2023-07-21 14:50:00,come
티웨이항공,일반석,118700,13,GMP,CJU,2023-07-21 13:40:00,2023-07-21 14:50:00,come
